artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
Survivor,Logged In,Jayden,M,0,Fox,245.36771000000002,free,"New Orleans-Metairie, LA",PUT,NextSong,1541033612796,100,Eye Of The Tiger,200,2018-11-01 22:23:14.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",101
,Logged In,Celeste,F,0,Williams,,free,"Klamath Falls, OR",GET,Home,1541077528796,438,,200,2018-11-12 02:36:57.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",53
Pavement,Logged In,Sylvie,F,0,Cruz,99.16036,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540266185796,345,Mercy:The Laundromat,200,2018-11-12 02:37:38.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Logged In,Celeste,F,1,Williams,277.15873,free,"Klamath Falls, OR",PUT,NextSong,1541077528796,438,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),200,2018-11-12 02:37:44.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",53
Gary Allan,Logged In,Celeste,F,2,Williams,211.22567,free,"Klamath Falls, OR",PUT,NextSong,1541077528796,438,Nothing On But The Radio,200,2018-11-12 02:42:21.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",53
,Logged In,Jacqueline,F,0,Lynch,,paid,"Atlanta-Sandy Springs-Roswell, GA",GET,Home,1540223723796,389,,200,2018-11-12 02:45:14.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",29
Charttraxx Karaoke,Logged In,Celeste,F,3,Williams,225.17506,free,"Klamath Falls, OR",PUT,NextSong,1541077528796,438,Fireflies,200,2018-11-12 02:45:52.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",53
The Libertines,Logged In,Jacqueline,F,1,Lynch,179.53914,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1540223723796,389,The Good Old Days,200,2018-11-12 02:47:22.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",29
Huey Lewis And The News,Logged In,Jacqueline,F,2,Lynch,245.52444,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1540223723796,389,Hip To Be Square,200,2018-11-12 02:50:21.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",29
JOSEF LOCKE & ORCHESTRA,Logged In,Jacqueline,F,3,Lynch,166.26893,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1540223723796,389,How Can You Buy Killarney (1992 Digital Remaster),200,2018-11-12 02:54:26.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",29
Train,Logged In,Jacqueline,F,4,Lynch,216.76362999999998,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1540223723796,389,Hey_ Soul Sister,200,2018-11-12 02:57:12.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",29
Blind Pilot,Logged In,Jacqueline,F,5,Lynch,156.94322,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1540223723796,389,I Buried a Bone,200,2018-11-12 03:00:48.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",29
Anjulie,Logged In,Jacqueline,F,6,Lynch,194.63791,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1540223723796,389,Boom,200,2018-11-12 03:03:24.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",29
59 Times the Pain,Logged In,Jordan,F,0,Rodriguez,144.95302,free,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1540992715796,136,Found Home,200,2018-11-12 03:36:28.796,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,68
,Logged In,Kimber,F,0,Norris,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540975589796,412,,200,2018-11-12 05:22:47.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",47
,Logged In,Lily,F,0,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,About,1540621059796,466,,200,2018-11-12 05:42:00.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
,Logged In,Lily,F,1,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540621059796,466,,200,2018-11-12 05:42:17.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
,Logged In,Chloe,F,0,Cuevas,,free,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940782796,470,,200,2018-11-12 05:53:11.796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged In,Ryan,M,0,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",GET,Home,1541016707796,483,,200,2018-11-12 06:09:32.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
Pork Dukes,Logged In,Noah,M,0,Chavez,133.04118,free,"Ogden-Clearfield, UT",PUT,NextSong,1540970748796,262,Bend & Flush,200,2018-11-12 06:13:27.796,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,94
,Logged In,Adler,M,0,Barrera,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540835983796,428,,200,2018-11-12 08:50:31.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
Plan B,Logged In,Adler,M,1,Barrera,254.95465,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540835983796,428,Traded In My Cigarettes,200,2018-11-12 08:50:44.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
Rell featuring Dert_ Killa Klump_ Silence,Logged In,Adler,M,2,Barrera,223.97342000000003,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540835983796,428,Talk Is Drastik,200,2018-11-12 08:54:58.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
K-OS,Logged In,Adler,M,3,Barrera,211.33016,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540835983796,428,EMCEE Murdah,200,2018-11-12 08:58:41.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
Vanessa Carlton,Logged In,Adler,M,4,Barrera,272.40443999999997,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540835983796,428,Come Undone,200,2018-11-12 09:02:12.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
Camila,Logged In,Emily,F,0,Benson,280.34567000000004,paid,"Augusta-Richmond County, GA-SC",PUT,NextSong,1540907087796,377,De Mi,200,2018-11-12 09:03:03.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",58
Buju Banton,Logged In,Emily,F,1,Benson,232.48934,paid,"Augusta-Richmond County, GA-SC",PUT,NextSong,1540907087796,377,Cry No More,200,2018-11-12 09:07:43.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",58
,Logged In,Chloe,F,0,Cuevas,,free,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940782796,490,,200,2018-11-12 10:17:16.796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Feist,Logged In,Evelin,F,0,Ayala,184.94648999999998,free,"Milwaukee-Waukesha-West Allis, WI",PUT,NextSong,1541007976796,318,My Moon My Man,200,2018-11-12 10:18:43.796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,34
Kings Of Leon,Logged In,Chloe,F,1,Cuevas,201.79546000000002,free,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940782796,490,Revelry,200,2018-11-12 10:21:13.796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Beck,Logged In,Aiden,M,0,Hess,228.80607999999998,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796,344,Lost Cause,200,2018-11-12 10:26:06.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
Big Walter Horton's Blues Harp Band,Logged In,Aiden,M,1,Hess,210.78159,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796,344,Rockin' My Boogie,200,2018-11-12 10:29:54.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
Supervielle,Logged In,Aiden,M,2,Hess,263.83628,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796,344,332,200,2018-11-12 10:33:24.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
Bryan Adams,Logged In,Samuel,M,0,Gonzalez,254.79791,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540492941796,454,Cloud Number Nine,200,2018-11-12 10:35:02.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
Slipknot,Logged In,Aiden,M,3,Hess,259.44771000000003,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796,344,Eyeless (Live version) (Album Version),200,2018-11-12 10:37:47.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
The Black Keys,Logged In,Aiden,M,4,Hess,139.51955,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796,344,I'll Be Your Man,200,2018-11-12 10:42:06.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
Shinedown,Logged In,Jordan,F,0,Hicks,233.97832000000002,free,"Salinas, CA",PUT,NextSong,1540008898796,449,Sound Of Madness (Album Version),200,2018-11-12 11:19:48.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",37
Devin Townsend,Logged In,Kevin,M,0,Arellano,576.33914,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540006905796,450,Earth Day,200,2018-11-12 11:41:09.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
,Logged In,Kevin,M,1,Arellano,,free,"Harrisburg-Carlisle, PA",PUT,Logout,1540006905796,450,,307,2018-11-12 11:41:10.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
,Logged Out,,,2,,,free,,GET,Home,0,450,,200,2018-11-12 11:41:18.796,,0
,Logged Out,,,3,,,free,,PUT,Login,0,450,,307,2018-11-12 11:41:19.796,,0
Stray Cats,Logged In,Ryan,M,0,Smith,243.77424,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541016707796,491,Jeanie Jeanie Jeanie,200,2018-11-12 11:41:22.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
,Logged In,Kevin,M,4,Arellano,,free,"Harrisburg-Carlisle, PA",GET,Home,1540006905796,450,,200,2018-11-12 11:43:01.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
Dwight Yoakam,Logged In,Ryan,M,1,Smith,239.3073,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541016707796,491,You're The One,200,2018-11-12 11:45:25.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
,Logged In,Ryan,M,2,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,Logout,1541016707796,491,,307,2018-11-12 11:45:26.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
,Logged Out,,,3,,,free,,GET,Home,0,491,,200,2018-11-12 11:47:20.796,,0
,Logged Out,,,4,,,free,,GET,About,0,491,,200,2018-11-12 11:47:58.796,,0
,Logged In,Kevin,M,5,Arellano,,free,"Harrisburg-Carlisle, PA",GET,Upgrade,1540006905796,450,,200,2018-11-12 11:50:02.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
Talking Heads,Logged In,Kevin,M,6,Arellano,259.02975,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540006905796,450,Road To Nowhere (Remastered LP Version ),200,2018-11-12 11:50:45.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
Guns N' Roses,Logged In,Kevin,M,7,Arellano,406.17751,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540006905796,450,Paradise City,200,2018-11-12 11:55:04.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
Lily Allen,Logged In,Maia,F,0,Burke,195.13423999999998,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796,316,Smile (Explicit Version),200,2018-11-12 14:02:48.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
LCD Soundsystem,Logged In,Maia,F,1,Burke,201.56036,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796,316,Daft Punk Is Playing At My House,200,2018-11-12 14:06:03.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Tiefschwarz,Logged In,Maia,F,2,Burke,455.78404000000006,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796,316,Wait & See (Gucci Soundsystem Remix),200,2018-11-12 14:09:24.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Buckcherry,Logged In,Lily,F,0,Burns,263.36607999999995,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796,489,Everything (Album Version),200,2018-11-12 14:15:49.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
The Get Up Kids,Logged In,Maia,F,3,Burke,205.26975,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796,316,Forgive and Forget,200,2018-11-12 14:16:59.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Neko Case,Logged In,Lily,F,1,Burns,151.01342,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796,489,People Got A Lotta Nerve,200,2018-11-12 14:20:12.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Outkast Featuring Killer Mike,Logged In,Maia,F,4,Burke,295.33995,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796,316,The Whole World,200,2018-11-12 14:20:24.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Does It Offend You_ Yeah?,Logged In,Lily,F,2,Burns,220.57751000000002,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796,489,Doomed Now,200,2018-11-12 14:22:43.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Eminem,Logged In,Maia,F,5,Burke,268.5122,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796,316,My Name Is,200,2018-11-12 14:25:19.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Kabosh,Logged In,Lily,F,3,Burns,242.41587,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796,489,Little Pills,200,2018-11-12 14:26:23.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Enigma,Logged In,Maia,F,6,Burke,141.5571,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796,316,The Voice Of Enigma,200,2018-11-12 14:29:47.796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Jason Mraz,Logged In,Lily,F,4,Burns,226.53342,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796,489,After An Afternoon (Eagles Ballroom Live Version),200,2018-11-12 14:30:25.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
,Logged In,Samuel,M,0,Gonzalez,,free,"Houston-The Woodlands-Sugar Land, TX",GET,Home,1540492941796,497,,200,2018-11-12 15:03:18.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
The Black Keys,Logged In,Samuel,M,1,Gonzalez,234.26567000000003,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540492941796,497,The Desperate Man,200,2018-11-12 15:04:10.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
Mayday Parade,Logged In,Samuel,M,2,Gonzalez,290.79465,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540492941796,497,Three Cheers for Five Years (Acoustic),200,2018-11-12 15:08:04.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
Sam Cooke,Logged In,Samuel,M,3,Gonzalez,122.04363000000001,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540492941796,497,Ain't Misbehavin,200,2018-11-12 15:12:54.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
,Logged In,Chloe,F,0,Cuevas,,free,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940782796,496,,200,2018-11-12 15:42:13.796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged In,Chloe,F,1,Cuevas,,free,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940782796,496,,200,2018-11-12 15:48:16.796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged Out,,,0,,,paid,,PUT,Login,0,374,,307,2018-11-12 15:49:34.796,,0
Enrique Iglesias,Logged In,Chloe,F,2,Cuevas,241.42322000000001,free,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940782796,496,Tired Of Being Sorry,200,2018-11-12 15:50:10.796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged In,Kate,F,1,Harrell,,paid,"Lansing-East Lansing, MI",GET,Home,1540472624796,374,,200,2018-11-12 15:50:13.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Plain White T's,Logged In,Kate,F,2,Harrell,232.202,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796,374,Hey There Delilah,200,2018-11-12 15:51:41.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
,Logged In,Lily,F,0,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540621059796,503,,200,2018-11-12 15:53:33.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
The Brecker Brothers,Logged In,Lily,F,1,Burns,217.5473,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796,503,East River,200,2018-11-12 15:53:42.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Buckcherry,Logged In,Chloe,F,3,Cuevas,226.14158999999998,free,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940782796,496,Sorry (Album Version),200,2018-11-12 15:54:11.796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Dayglo Abortions,Logged In,Kate,F,3,Harrell,142.78485,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796,374,Courage In A Can,200,2018-11-12 15:55:33.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
The Herbaliser,Logged In,Kate,F,4,Harrell,273.8673,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796,374,Sensual Woman,200,2018-11-12 15:57:55.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Toni Braxton,Logged In,Kate,F,5,Harrell,268.45995,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796,374,Un-Break My Heart,200,2018-11-12 16:02:28.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Shania Twain,Logged In,Kate,F,6,Harrell,250.51382999999998,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796,374,Nah!,200,2018-11-12 16:06:56.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Discovery,Logged In,Chloe,F,0,Roth,206.0273,free,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1540699429796,247,I Want You Back,200,2018-11-12 16:06:58.796,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,78
Justin Bieber,Logged In,Chloe,F,1,Roth,220.89097999999998,free,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1540699429796,247,Somebody To Love,200,2018-11-12 16:10:24.796,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,78
Young Dro featuring T.I.,Logged In,Kate,F,7,Harrell,322.11546,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796,374,My Girl (Featuring T.I.) (Amended Album Version),200,2018-11-12 16:11:06.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Rancid,Logged In,Chloe,F,2,Roth,152.76363,free,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1540699429796,247,Hooligans (Album Version),200,2018-11-12 16:14:04.796,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,78
Sergio Contreras,Logged In,Kate,F,8,Harrell,234.00444,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796,374,DÃÂ­selo Con Arte,200,2018-11-12 16:16:28.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Jason Derulo,Logged In,Kate,F,9,Harrell,222.61506,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796,374,Whatcha Say,200,2018-11-12 16:20:22.796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
